# K=0 is shorthand for sequential
#A     (bytes)    B (bytes)    K    T    Speedup    Eff    EDSF
512    512    0    808    xxx    xxx    xxx
512    512    1    961    0.841    0.841    xxx
512    512    2    1275    0.634    0.317    1.653
512    512    4    1557    0.519    0.130    1.827
512    512    8    2014    0.401    0.050    2.252
512    512    16    2168    0.373    0.023    2.340


# Two lines per separated block
1024    1024    0    956    xxx    xxx    xxx
1024    1024    1    854    1.119    1.119    xxx
1024    1024    2    1340    0.713    0.357    2.138
1024    1024    4    1616    0.592    0.148    2.190
1024    1024    8    1687    0.567    0.071    2.115
1024    1024    16    2660    0.359    0.022    3.256


# Two lines per separated block
2048    2048    0    1276    xxx    xxx    xxx
2048    2048    1    1204    1.060    1.060    xxx
2048    2048    2    1848    0.690    0.345    2.070
2048    2048    4    1834    0.696    0.174    1.698
2048    2048    8    2257    0.565    0.071    2.000
2048    2048    16    2553    0.500    0.031    2.195


# Two lines per separated block
4096    4096    0    3066    xxx    xxx    xxx
4096    4096    1    2567    1.194    1.194    xxx
4096    4096    2    2737    1.120    0.560    1.132
4096    4096    4    2720    1.127    0.282    1.079
4096    4096    8    2641    1.161    0.145    1.033
4096    4096    16    3206    0.956    0.060    1.266


# Two lines per separated block
8192    8192    0    10408    xxx    xxx    xxx
8192    8192    1    10365    1.004    1.004    xxx
8192    8192    2    6883    1.512    0.756    0.328
8192    8192    4    4783    2.176    0.544    0.282
8192    8192    8    4191    2.483    0.310    0.319
8192    8192    16    4227    2.462    0.154    0.368


# Two lines per separated block
16384    16384    0    49159    xxx    xxx    xxx
16384    16384    1    86032    0.571    0.571    xxx
16384    16384    2    27481    1.789    0.894    -0.361
16384    16384    4    13932    3.528    0.882    -0.117
16384    16384    8    8609    5.710    0.714    -0.028
16384    16384    16    8154    6.029    0.377    0.034


# Two lines per separated block
32768    32768    0    321322    xxx    xxx    xxx
32768    32768    1    398561    0.806    0.806    xxx
32768    32768    2    177135    1.814    0.907    -0.111
32768    32768    4    61540    5.221    1.305    -0.127
32768    32768    8    28503    11.273    1.409    -0.061
32768    32768    16    16645    19.304    1.207    -0.022


# Two lines per separated block
65536    65536    0    1451538    xxx    xxx    xxx
65536    65536    1    1604761    0.905    0.905    xxx
65536    65536    2    813422    1.784    0.892    0.014
65536    65536    4    372594    3.896    0.974    -0.024
65536    65536    8    117537    12.350    1.544    -0.059
65536    65536    16    56647    25.624    1.602    -0.029


# Two lines per separated block
131072    131072    0    5183648    xxx    xxx    xxx
131072    131072    1    5925532    0.875    0.875    xxx
131072    131072    2    3208530    1.616    0.808    0.083
131072    131072    4    1635557    3.169    0.792    0.035
131072    131072    8    721019    7.189    0.899    -0.004
131072    131072    16    219387    23.628    1.477    -0.027
